data,producao
1997-01-01,812324
1997-02-01,818768
1997-03-01,846938
1997-04-01,818238
1997-05-01,786930
1997-06-01,832853
1997-07-01,833155
1997-08-01,827353
1997-09-01,805147
1997-10-01,771618
1997-11-01,786363
1997-12-01,885034
1998-01-01,868514
1998-02-01,825080
1998-03-01,888995
1998-04-01,873078
1998-05-01,934388
1998-06-01,886761
1998-07-01,904103
1998-08-01,895887
1998-09-01,879149
1998-10-01,941360
1998-11-01,920984
1998-12-01,969305
1999-01-01,996734
1999-02-01,888098
1999-03-01,997363
1999-04-01,968202
1999-05-01,999141
1999-06-01,984923
1999-07-01,993082
1999-08-01,1005019
1999-09-01,992814
1999-10-01,1009954
1999-11-01,982522
1999-12-01,1037121
2000-01-01,1068932
2000-02-01,980652
2000-03-01,1087437
2000-04-01,1059857
2000-05-01,1108281
2000-06-01,1106874
2000-07-01,1135131
2000-08-01,1102473
2000-09-01,1119508
2000-10-01,1148544
2000-11-01,1148617
2000-12-01,1216518
2001-01-01,1169771
2001-02-01,1089567
2001-03-01,1180630
2001-04-01,1116020
2001-05-01,1154038
2001-06-01,1134247
2001-07-01,1180636
2001-08-01,1169423
2001-09-01,1147600
2001-10-01,1151291
2001-11-01,1201293
2001-12-01,1304275
2002-01-01,1335165
2002-02-01,1238337
2002-03-01,1378670
2002-04-01,1332613
2002-05-01,1366699
2002-06-01,1304132
2002-07-01,1295413
2002-08-01,1321209
2002-09-01,1251905
2002-10-01,1256029
2002-11-01,1208173
2002-12-01,1236795
2003-01-01,1317095
2003-02-01,1207262
2003-03-01,1315643
2003-04-01,1283423
2003-05-01,1292163
2003-06-01,1231727
2003-07-01,1326924
2003-08-01,1371808
2003-09-01,1353388
2003-10-01,1403234
2003-11-01,1331019
2003-12-01,1358363
2004-01-01,1381342
2004-02-01,1319175
2004-03-01,1433681
2004-04-01,1390912
2004-05-01,1392775
2004-06-01,1390781
2004-07-01,1463457
2004-08-01,1457531
2004-09-01,1417593
2004-10-01,1464051
2004-11-01,1366916
2004-12-01,1492926
2005-01-01,1470284
2005-02-01,1310043
2005-03-01,1471606
2005-04-01,1471785
2005-05-01,1558915
2005-06-01,1501361
2005-07-01,1523204
2005-08-01,1505034
2005-09-01,1417844
2005-10-01,1496159
2005-11-01,1496651
2005-12-01,1476304
2006-01-01,1456520
2006-02-01,1335770
2006-03-01,1476416
2006-04-01,1467437
2006-05-01,1542847
2006-06-01,1472318
2006-07-01,1552905
2006-08-01,1518975
2006-09-01,1427133
2006-10-01,1522302
2006-11-01,1447436
2006-12-01,1486078
2007-01-01,1487440
2007-02-01,1374220
2007-03-01,1526928
2007-04-01,1488873
2007-05-01,1482370
2007-06-01,1478893
2007-07-01,1561764
2007-08-01,1544443
2007-09-01,1472153
2007-10-01,1540577
2007-11-01,1536630
2007-12-01,1657330
2008-01-01,1683974
2008-02-01,1646142
2008-03-01,1791641
2008-04-01,1743002
2008-05-01,1785662
2008-06-01,1831113
2008-07-01,1872116
2008-08-01,1892849
2008-09-01,1821051
2008-10-01,1924298
2008-11-01,1767922
2008-12-01,1832801
2009-01-01,1658674
2009-02-01,1569897
2009-03-01,1791620
2009-04-01,1683236
2009-05-01,1810710
2009-06-01,1772259
2009-07-01,1798163
2009-08-01,1768049
2009-09-01,1798717
2009-10-01,1842928
2009-11-01,1773475
2009-12-01,1873702
2010-01-01,1815133
2010-02-01,1694787
2010-03-01,1843734
2010-04-01,1836465
2010-05-01,1924890
2010-06-01,1887274
2010-07-01,1934047
2010-08-01,1937852
2010-09-01,1917632
2010-10-01,2014033
2010-11-01,1987011
2010-12-01,2145500
2011-01-01,2053928
2011-02-01,1758878
2011-03-01,1904503
2011-04-01,1876297
2011-05-01,2066644
2011-06-01,2018026
2011-07-01,2073229
2011-08-01,2062176
2011-09-01,1957817
2011-10-01,2053969
2011-11-01,2036025
2011-12-01,2212147
2012-01-01,2203880
2012-02-01,1945993
2012-03-01,2054444
2012-04-01,1959378
2012-05-01,2120444
2012-06-01,2159450
2012-07-01,2200344
2012-08-01,2212617
2012-09-01,2152286
2012-10-01,2262107
2012-11-01,2199591
2012-12-01,2361619
2013-01-01,2351414
2013-02-01,2143040
2013-03-01,2394874
2013-04-01,2241011
2013-05-01,2320410
2013-06-01,2399634
2013-07-01,2433390
2013-08-01,2386574
2013-09-01,2344304
2013-10-01,2258731
2013-11-01,2371889
2013-12-01,2528846
2014-01-01,2491018
2014-02-01,2330946
2014-03-01,2585673
2014-04-01,2485694
2014-05-01,2620628
2014-06-01,2596949
2014-07-01,2724191
2014-08-01,2818096
2014-09-01,2667936
2014-10-01,2873230
2014-11-01,2750843
2014-12-01,2949573
2015-01-01,2993298
2015-02-01,2669987
2015-03-01,2964297
2015-04-01,2830267
2015-05-01,2887087
2015-06-01,2865469
2015-07-01,2955217
2015-08-01,3076054
2015-09-01,2920784
2015-10-01,3025781
2015-11-01,2825737
2015-12-01,3112370
2016-01-01,3014628
2016-02-01,2833248
2016-03-01,2801003
2016-04-01,2873136
2016-05-01,3094036
2016-06-01,3105531
2016-07-01,3322344
2016-08-01,3371751
2016-09-01,3313078
2016-10-01,3363279
2016-11-01,3333389
2016-12-01,3464933
2017-01-01,3408121
2017-02-01,2985878
2017-03-01,3141712
2017-04-01,3077422
2017-05-01,3248186
2017-06-01,3334031
2017-07-01,3565178
2017-08-01,3467033
2017-09-01,3420183
2017-10-01,3552719
2017-11-01,3402295
2017-12-01,3514545
2018-01-01,3485014
2018-02-01,3074751
2018-03-01,3316131
2018-04-01,3262414
2018-05-01,3468655
2018-06-01,3447778
2018-07-01,3595052
2018-08-01,3297380
2018-09-01,3387054
2018-10-01,3628143
2018-11-01,3370549
2018-12-01,3524192
2019-01-01,3509090
2019-02-01,3084265
2019-03-01,3456223
2019-04-01,3387836
2019-05-01,3656115
2019-06-01,3334557
2019-07-01,3848850
2019-08-01,4132999
2019-09-01,3865684
2019-10-01,4079425
2019-11-01,4097897
2019-12-01,4271199
2020-01-01,4301332
2020-02-01,3739113
2020-03-01,3774223
2020-04-01,3720167
2020-05-01,3545373
2020-06-01,3854169
2020-07-01,4040291
2020-08-01,4157291
2020-09-01,3757672
2020-10-01,4031565
2020-11-01,3791929
2020-12-01,3936288
2021-01-01,4228319
2021-02-01,3670423
2021-03-01,3908668
2021-04-01,3942954
2021-05-01,4171170
2021-06-01,4072493
2021-07-01,4314512
2021-08-01,4234460
2021-09-01,4001489
2021-10-01,4082821
2021-11-01,4097543
2021-12-01,4099387
2022-01-01,4260364
2022-02-01,3730158
2022-03-01,4167706
2022-04-01,4105274
2022-05-01,4083099
2022-06-01,3987082
2022-07-01,4204512
2022-08-01,4338841
2022-09-01,4292099
2022-10-01,4611270
2022-11-01,4211392
2022-12-01,4346191
2023-01-01,4440535
2023-02-01,4103097
2023-03-01,4294448
2023-04-01,4248027
2023-05-01,4476693
2023-06-01,4567729
2023-07-01,4776345
2023-08-01,4583653
2023-09-01,4739656
2023-10-01,4727658
2023-11-01,4863686
2023-12-01,4855517
2024-01-01,4771744
2024-02-01,4310396
2024-03-01,4463441
2024-04-01,4101757
2024-05-01,4514543
2024-06-01,4505249
2024-07-01,4692646
2024-08-01,4954052
2024-09-01,5101205
2024-10-01,4927448
2024-11-01,4732081
2024-12-01,4994936
2025-01-01,4983576
2025-02-01,4445370
2025-03-01,5131349
2025-04-01,5040199
2025-05-01,5341176
2025-06-01,5449034
2025-07-01,5917500
