data,producao
1997-01-01,342268
1997-02-01,343953
1997-03-01,350874
1997-04-01,350542
1997-05-01,339081
1997-06-01,364237
1997-07-01,371990
1997-08-01,366094
1997-09-01,362941
1997-10-01,368940
1997-11-01,364864
1997-12-01,378101
1998-01-01,378709
1998-02-01,352810
1998-03-01,384130
1998-04-01,381635
1998-05-01,400688
1998-06-01,372910
1998-07-01,372442
1998-08-01,367255
1998-09-01,370903
1998-10-01,397395
1998-11-01,379104
1998-12-01,382040
1999-01-01,389642
1999-02-01,337955
1999-03-01,387655
1999-04-01,378346
1999-05-01,387183
1999-06-01,390208
1999-07-01,398655
1999-08-01,405530
1999-09-01,387590
1999-10-01,397954
1999-11-01,382609
1999-12-01,406196
2000-01-01,407646
2000-02-01,365464
2000-03-01,402950
2000-04-01,390152
2000-05-01,411854
2000-06-01,399281
2000-07-01,419299
2000-08-01,428497
2000-09-01,416278
2000-10-01,415042
2000-11-01,393178
2000-12-01,423475
2001-01-01,422422
2001-02-01,373739
2001-03-01,417692
2001-04-01,396998
2001-05-01,427579
2001-06-01,400339
2001-07-01,412882
2001-08-01,392731
2001-09-01,372940
2001-10-01,400247
2001-11-01,399479
2001-12-01,414905
2002-01-01,413748
2002-02-01,397506
2002-03-01,446427
2002-04-01,430540
2002-05-01,449094
2002-06-01,444159
2002-07-01,429699
2002-08-01,435728
2002-09-01,399228
2002-10-01,390653
2002-11-01,415087
2002-12-01,418675
2003-01-01,427572
2003-02-01,383744
2003-03-01,421513
2003-04-01,404872
2003-05-01,432544
2003-06-01,417010
2003-07-01,448657
2003-08-01,450185
2003-09-01,442949
2003-10-01,462582
2003-11-01,435813
2003-12-01,457892
2004-01-01,457846
2004-02-01,439696
2004-03-01,474961
2004-04-01,466787
2004-05-01,474164
2004-06-01,465257
2004-07-01,483234
2004-08-01,484271
2004-09-01,464619
2004-10-01,473977
2004-11-01,457717
2004-12-01,470328
2005-01-01,450472
2005-02-01,403314
2005-03-01,457960
2005-04-01,425663
2005-05-01,450383
2005-06-01,434082
2005-07-01,440682
2005-08-01,450193
2005-09-01,396826
2005-10-01,423488
2005-11-01,434568
2005-12-01,430686
2006-01-01,404865
2006-02-01,384414
2006-03-01,415812
2006-04-01,410604
2006-05-01,432367
2006-06-01,414466
2006-07-01,424849
2006-08-01,415187
2006-09-01,386559
2006-10-01,380049
2006-11-01,367591
2006-12-01,369690
2007-01-01,396550
2007-02-01,358333
2007-03-01,415630
2007-04-01,435566
2007-05-01,419047
2007-06-01,427920
2007-07-01,451046
