data,producao
1997-01-01,50891
1997-02-01,48632
1997-03-01,50528
1997-04-01,50588
1997-05-01,44179
1997-06-01,51965
1997-07-01,54155
1997-08-01,50355
1997-09-01,28450
1997-10-01,24764
1997-11-01,23857
1997-12-01,51362
1998-01-01,54481
1998-02-01,47954
1998-03-01,51672
1998-04-01,48353
1998-05-01,48206
1998-06-01,46822
1998-07-01,53569
1998-08-01,51753
1998-09-01,50871
1998-10-01,52032
1998-11-01,53092
1998-12-01,59143
1999-01-01,57821
1999-02-01,56788
1999-03-01,57334
1999-04-01,53890
1999-05-01,57501
1999-06-01,58574
1999-07-01,61304
1999-08-01,62620
1999-09-01,62905
1999-10-01,66200
1999-11-01,70485
1999-12-01,68732
2000-01-01,121013
2000-02-01,133999
2000-03-01,164197
2000-04-01,177098
2000-05-01,174001
2000-06-01,185446
2000-07-01,189476
2000-08-01,165119
2000-09-01,156984
2000-10-01,180387
2000-11-01,179004
2000-12-01,173476
2001-01-01,182148
2001-02-01,173209
2001-03-01,196631
2001-04-01,188200
2001-05-01,204793
2001-06-01,203396
2001-07-01,189642
2001-08-01,197601
2001-09-01,215273
2001-10-01,228028
2001-11-01,221063
2001-12-01,227346
2002-01-01,238614
2002-02-01,213235
2002-03-01,234413
2002-04-01,227885
2002-05-01,237460
2002-06-01,222724
2002-07-01,226291
2002-08-01,231656
2002-09-01,224327
2002-10-01,231488
2002-11-01,223907
2002-12-01,231183
2003-01-01,231962
2003-02-01,212979
2003-03-01,236478
2003-04-01,229738
2003-05-01,217632
2003-06-01,229851
2003-07-01,238135
2003-08-01,265431
2003-09-01,280083
2003-10-01,278268
2003-11-01,281180
2003-12-01,290821
2004-01-01,298461
2004-02-01,285109
2004-03-01,305482
2004-04-01,293019
2004-05-01,299582
2004-06-01,297074
2004-07-01,307422
2004-08-01,309980
2004-09-01,302151
2004-10-01,310592
2004-11-01,300150
2004-12-01,311738
2005-01-01,309803
2005-02-01,278100
2005-03-01,300780
2005-04-01,300514
2005-05-01,311625
2005-06-01,293784
2005-07-01,311167
2005-08-01,311476
2005-09-01,296746
2005-10-01,310541
2005-11-01,294236
2005-12-01,248433
2006-01-01,276912
2006-02-01,231515
2006-03-01,277119
2006-04-01,297430
2006-05-01,292757
2006-06-01,296933
2006-07-01,303246
2006-08-01,296921
2006-09-01,250237
2006-10-01,290734
2006-11-01,283508
2006-12-01,279050
2007-01-01,292314
2007-02-01,277169
2007-03-01,304074
2007-04-01,283979
2007-05-01,286398
2007-06-01,297178
2007-07-01,300077
2007-08-01,306170
2007-09-01,291127
2007-10-01,291268
2007-11-01,310881
2007-12-01,305476
2008-01-01,320683
2008-02-01,290540
2008-03-01,321625
2008-04-01,304263
2008-05-01,291965
2008-06-01,306479
2008-07-01,313039
2008-08-01,320750
2008-09-01,310221
2008-10-01,320277
2008-11-01,312396
2008-12-01,320380
2009-01-01,321234
2009-02-01,290619
2009-03-01,308780
2009-04-01,312726
2009-05-01,324424
2009-06-01,313906
2009-07-01,324532
2009-08-01,322822
2009-09-01,304326
2009-10-01,322171
2009-11-01,310407
2009-12-01,324286
2010-01-01,324678
2010-02-01,292153
2010-03-01,321497
2010-04-01,321685
2010-05-01,333887
2010-06-01,328035
2010-07-01,341128
2010-08-01,337760
2010-09-01,309519
2010-10-01,288976
2010-11-01,317468
2010-12-01,341107
2011-01-01,336051
2011-02-01,313149
2011-03-01,333137
2011-04-01,340903
2011-05-01,356300
2011-06-01,354456
2011-07-01,365713
2011-08-01,358739
2011-09-01,353274
2011-10-01,356750
2011-11-01,332043
2011-12-01,360644
2012-01-01,359078
2012-02-01,321649
2012-03-01,362154
2012-04-01,320108
2012-05-01,361794
2012-06-01,356686
2012-07-01,356732
2012-08-01,356175
2012-09-01,343766
2012-10-01,349074
2012-11-01,335937
2012-12-01,365121
2013-01-01,356686
2013-02-01,309089
2013-03-01,351567
2013-04-01,341944
2013-05-01,355149
2013-06-01,339270
2013-07-01,360924
2013-08-01,332242
2013-09-01,319953
2013-10-01,362459
2013-11-01,347808
2013-12-01,373210
2014-01-01,389364
2014-02-01,349032
2014-03-01,379476
2014-04-01,369610
2014-05-01,393323
2014-06-01,380422
2014-07-01,399153
2014-08-01,404812
2014-09-01,403575
2014-10-01,413879
2014-11-01,403222
2014-12-01,417958
2015-01-01,426044
2015-02-01,388076
2015-03-01,420463
2015-04-01,409272
2015-05-01,422986
2015-06-01,412106
2015-07-01,437793
2015-08-01,444303
2015-09-01,428617
2015-10-01,418662
2015-11-01,415735
2015-12-01,436108
2016-01-01,440488
2016-02-01,419898
2016-03-01,432681
2016-04-01,431214
2016-05-01,447724
2016-06-01,410990
2016-07-01,421018
2016-08-01,434129
2016-09-01,419913
2016-10-01,401317
2016-11-01,413067
2016-12-01,433717
2017-01-01,431840
2017-02-01,378059
2017-03-01,390077
2017-04-01,392359
2017-05-01,385249
2017-06-01,395630
2017-07-01,436518
2017-08-01,424073
2017-09-01,414466
2017-10-01,386883
2017-11-01,358648
2017-12-01,362640
2018-01-01,357418
2018-02-01,390683
2018-03-01,427160
2018-04-01,425759
2018-05-01,465594
2018-06-01,440819
2018-07-01,444944
2018-08-01,458003
2018-09-01,449739
2018-10-01,453201
2018-11-01,448305
2018-12-01,454342
2019-01-01,463245
2019-02-01,439662
2019-03-01,486347
2019-04-01,459340
2019-05-01,477539
2019-06-01,469531
2019-07-01,476337
2019-08-01,477737
2019-09-01,448900
2019-10-01,464704
2019-11-01,446501
2019-12-01,461230
2020-01-01,471614
2020-02-01,395238
2020-03-01,433578
2020-04-01,427150
2020-05-01,393622
2020-06-01,391882
2020-07-01,410819
2020-08-01,428405
2020-09-01,375261
2020-10-01,421875
2020-11-01,400178
2020-12-01,407547
2021-01-01,426997
2021-02-01,366931
2021-03-01,425794
2021-04-01,409282
2021-05-01,420312
2021-06-01,399988
2021-07-01,420968
2021-08-01,415474
2021-09-01,390716
2021-10-01,426766
2021-11-01,422424
2021-12-01,431436
2022-01-01,437731
2022-02-01,370522
2022-03-01,436277
2022-04-01,438343
2022-05-01,427275
2022-06-01,413729
2022-07-01,424007
2022-08-01,421260
2022-09-01,395232
2022-10-01,445812
2022-11-01,424171
2022-12-01,433202
2023-01-01,418008
2023-02-01,415187
2023-03-01,469139
2023-04-01,449663
2023-05-01,450042
2023-06-01,451684
2023-07-01,427565
2023-08-01,403448
2023-09-01,399376
2023-10-01,430306
2023-11-01,440464
2023-12-01,458782
2024-01-01,443544
2024-02-01,399316
2024-03-01,417677
2024-04-01,422754
2024-05-01,462837
2024-06-01,415273
2024-07-01,459178
2024-08-01,451550
2024-09-01,437029
2024-10-01,436853
2024-11-01,442066
2024-12-01,433742
2025-01-01,423399
2025-02-01,397751
2025-03-01,436526
2025-04-01,438010
2025-05-01,417168
2025-06-01,429544
2025-07-01,450996
