data,producao
1997-01-01,402844
1997-02-01,408749
1997-03-01,428189
1997-04-01,400888
1997-05-01,387221
1997-06-01,404601
1997-07-01,399167
1997-08-01,401555
1997-09-01,405409
1997-10-01,369328
1997-11-01,388738
1997-12-01,433768
1998-01-01,424733
1998-02-01,410399
1998-03-01,438563
1998-04-01,428930
1998-05-01,471464
1998-06-01,454461
1998-07-01,467025
1998-08-01,466217
1998-09-01,446813
1998-10-01,481418
1998-11-01,478528
1998-12-01,517662
1999-01-01,538914
1999-02-01,484368
1999-03-01,543020
1999-04-01,526642
1999-05-01,544792
1999-06-01,530131
1999-07-01,528338
1999-08-01,534277
1999-09-01,539249
1999-10-01,541946
1999-11-01,523974
1999-12-01,557218
2000-01-01,535765
2000-02-01,475931
2000-03-01,515198
2000-04-01,487042
2000-05-01,516880
2000-06-01,517213
2000-07-01,522031
2000-08-01,506582
2000-09-01,543559
2000-10-01,550553
2000-11-01,574103
2000-12-01,617445
2001-01-01,563053
2001-02-01,541017
2001-03-01,563801
2001-04-01,527312
2001-05-01,515915
2001-06-01,526717
2001-07-01,573646
2001-08-01,575475
2001-09-01,556202
2001-10-01,520066
2001-11-01,578253
2001-12-01,659797
2002-01-01,680770
2002-02-01,626897
2002-03-01,697623
2002-04-01,673197
2002-05-01,676284
2002-06-01,635696
2002-07-01,639380
2002-08-01,653825
2002-09-01,628350
2002-10-01,633888
2002-11-01,569179
2002-12-01,586937
2003-01-01,657561
2003-02-01,609143
2003-03-01,657652
2003-04-01,648813
2003-05-01,639627
2003-06-01,579787
2003-07-01,635058
2003-08-01,645663
2003-09-01,619451
2003-10-01,653872
2003-11-01,607236
2003-12-01,603898
2004-01-01,620166
2004-02-01,588747
2004-03-01,646500
2004-04-01,626344
2004-05-01,613740
2004-06-01,622605
2004-07-01,666541
2004-08-01,657219
2004-09-01,644960
2004-10-01,674948
2004-11-01,604968
2004-12-01,705562
2005-01-01,703801
2005-02-01,622301
2005-03-01,707615
2005-04-01,740780
2005-05-01,790197
2005-06-01,766790
2005-07-01,765382
2005-08-01,737775
2005-09-01,719752
2005-10-01,756217
2005-11-01,762059
2005-12-01,793288
2006-01-01,767956
2006-02-01,717008
2006-03-01,780598
2006-04-01,755490
2006-05-01,813735
2006-06-01,758127
2006-07-01,821986
2006-08-01,803892
2006-09-01,787981
2006-10-01,849317
2006-11-01,793562
2006-12-01,834716
2007-01-01,795916
2007-02-01,736596
2007-03-01,803777
2007-04-01,764663
2007-05-01,772739
2007-06-01,751086
2007-07-01,808014
2007-08-01,778191
2007-09-01,735451
2007-10-01,766941
2007-11-01,752268
2007-12-01,848913
2008-01-01,848367
2008-02-01,878673
2008-03-01,964395
2008-04-01,943872
2008-05-01,993048
2008-06-01,1039444
2008-07-01,1026551
2008-08-01,1025188
2008-09-01,1003401
2008-10-01,1077694
2008-11-01,958995
2008-12-01,1047861
2009-01-01,898923
2009-02-01,853887
2009-03-01,1026280
2009-04-01,926802
2009-05-01,1032604
2009-06-01,993806
2009-07-01,972677
2009-08-01,997981
2009-09-01,1004842
2009-10-01,1043227
