data,producao
1997-01-01,59485
1997-02-01,59818
1997-03-01,53119
1997-04-01,58450
1997-05-01,53198
1997-06-01,59076
1997-07-01,60871
1997-08-01,61885
1997-09-01,53062
1997-10-01,52808
1997-11-01,60759
1997-12-01,61062
1998-01-01,58201
1998-02-01,55577
1998-03-01,59910
1998-04-01,55060
1998-05-01,59561
1998-06-01,58376
1998-07-01,53907
1998-08-01,53915
1998-09-01,60284
1998-10-01,59216
1998-11-01,51925
1998-12-01,55997
1999-01-01,60307
1999-02-01,51520
1999-03-01,60458
1999-04-01,61591
1999-05-01,60849
1999-06-01,63809
1999-07-01,64673
1999-08-01,66726
1999-09-01,65507
1999-10-01,63255
1999-11-01,62690
1999-12-01,68618
2000-01-01,65323
2000-02-01,59032
2000-03-01,65411
2000-04-01,61244
2000-05-01,62047
2000-06-01,58110
2000-07-01,62244
2000-08-01,65480
2000-09-01,61603
2000-10-01,59341
2000-11-01,54800
2000-12-01,63696
2001-01-01,64944
2001-02-01,58616
2001-03-01,65908
2001-04-01,63402
2001-05-01,68686
2001-06-01,61692
2001-07-01,67652
2001-08-01,63226
2001-09-01,57815
2001-10-01,63683
2001-11-01,63267
2001-12-01,64029
2002-01-01,64838
2002-02-01,62677
2002-03-01,69438
2002-04-01,61822
2002-05-01,68793
2002-06-01,68417
2002-07-01,67114
2002-08-01,65747
2002-09-01,63524
2002-10-01,62148
2002-11-01,61799
2002-12-01,65434
2003-01-01,66640
2003-02-01,61069
2003-03-01,70028
2003-04-01,68069
2003-05-01,77533
2003-06-01,81057
2003-07-01,78346
2003-08-01,77558
2003-09-01,77187
2003-10-01,84391
2003-11-01,82525
2003-12-01,93517
2004-01-01,90597
2004-02-01,89236
2004-03-01,95033
2004-04-01,92104
2004-05-01,88964
2004-06-01,101286
2004-07-01,109758
2004-08-01,104711
2004-09-01,103877
2004-10-01,107274
2004-11-01,102514
2004-12-01,101805
2005-01-01,101647
2005-02-01,93728
2005-03-01,105042
2005-04-01,99279
2005-05-01,103000
2005-06-01,97470
2005-07-01,93201
2005-08-01,96236
2005-09-01,92957
2005-10-01,95176
2005-11-01,96072
2005-12-01,94842
2006-01-01,89508
2006-02-01,83373
2006-03-01,81366
2006-04-01,90452
2006-05-01,89308
2006-06-01,84695
2006-07-01,89112
2006-08-01,87989
2006-09-01,82525
2006-10-01,85001
2006-11-01,78946
2006-12-01,80458
