data,producao
1997-01-01,139801
1997-02-01,139002
1997-03-01,151931
1997-04-01,150306
1997-05-01,140411
1997-06-01,151582
1997-07-01,155486
1997-08-01,151316
1997-09-01,156516
1997-10-01,170859
1997-11-01,166938
1997-12-01,161717
1998-01-01,162265
1998-02-01,155599
1998-03-01,163519
1998-04-01,167453
1998-05-01,180310
1998-06-01,148770
1998-07-01,155166
1998-08-01,153006
1998-09-01,152718
1998-10-01,174207
1998-11-01,166057
1998-12-01,163135
1999-01-01,166535
1999-02-01,145576
1999-03-01,157460
1999-04-01,154907
1999-05-01,160407
1999-06-01,152957
1999-07-01,158879
1999-08-01,155205
1999-09-01,143841
1999-10-01,155096
1999-11-01,148746
1999-12-01,160658
2000-01-01,158202
2000-02-01,134216
2000-03-01,158005
2000-04-01,148459
2000-05-01,159652
2000-06-01,152675
2000-07-01,158478
2000-08-01,165470
2000-09-01,161153
2000-10-01,163152
2000-11-01,165129
2000-12-01,171316
2001-01-01,167801
2001-02-01,150265
2001-03-01,168545
2001-04-01,160658
2001-05-01,176896
2001-06-01,164009
2001-07-01,169139
2001-08-01,150647
2001-09-01,154525
2001-10-01,167998
2001-11-01,162010
2001-12-01,174057
2002-01-01,167140
2002-02-01,160866
2002-03-01,178701
2002-04-01,178131
2002-05-01,183933
2002-06-01,183081
2002-07-01,175531
2002-08-01,178826
2002-09-01,154008
2002-10-01,143053
2002-11-01,154035
2002-12-01,159507
2003-01-01,169857
2003-02-01,162864
2003-03-01,177475
2003-04-01,180679
2003-05-01,186735
2003-06-01,171064
2003-07-01,190263
2003-08-01,182707
2003-09-01,182638
2003-10-01,187516
2003-11-01,179682
2003-12-01,194388
2004-01-01,194191
2004-02-01,181701
2004-03-01,198979
2004-04-01,190051
2004-05-01,199839
2004-06-01,187265
2004-07-01,195800
2004-08-01,193345
2004-09-01,181270
2004-10-01,181859
2004-11-01,173082
2004-12-01,179222
2005-01-01,165597
2005-02-01,147241
2005-03-01,176767
2005-04-01,170873
2005-05-01,176980
2005-06-01,166584
2005-07-01,171639
2005-08-01,177020
2005-09-01,133120
2005-10-01,151999
2005-11-01,173596
2005-12-01,172869
2006-01-01,152096
2006-02-01,155604
2006-03-01,170767
2006-04-01,161468
2006-05-01,170081
2006-06-01,162274
2006-07-01,165229
2006-08-01,164087
2006-09-01,152903
2006-10-01,144928
2006-11-01,148793
2006-12-01,146087
2007-01-01,171489
2007-02-01,153855
2007-03-01,195889
2007-04-01,216065
2007-05-01,215393
2007-06-01,215616
2007-07-01,230052
2007-08-01,233740
2007-09-01,227453
2007-10-01,253209
2007-11-01,255770
2007-12-01,277754
2008-01-01,288561
2008-02-01,268975
2008-03-01,287058
2008-04-01,280934
2008-05-01,284124
2008-06-01,258149
2008-07-01,285573
2008-08-01,301148
2008-09-01,282122
2008-10-01,314281
2008-11-01,272727
2008-12-01,241277
2009-01-01,218673
2009-02-01,231376
2009-03-01,237163
2009-04-01,242446
2009-05-01,248887
2009-06-01,260264
2009-07-01,279776
2009-08-01,232254
2009-09-01,277541
2009-10-01,266056
2009-11-01,257356
2009-12-01,301620
2010-01-01,276853
2010-02-01,251053
2010-03-01,276583
2010-04-01,250745
2010-05-01,257901
2010-06-01,275270
2010-07-01,287546
2010-08-01,305328
2010-09-01,314209
2010-10-01,317226
2010-11-01,304724
2010-12-01,281942
2011-01-01,250386
2011-02-01,218341
2011-03-01,176717
2011-04-01,158372
2011-05-01,216879
2011-06-01,213220
2011-07-01,231173
2011-08-01,212537
2011-09-01,201912
2011-10-01,203505
2011-11-01,230944
2011-12-01,243770
2012-01-01,240081
2012-02-01,226287
2012-03-01,242569
2012-04-01,264482
2012-05-01,282792
2012-06-01,282249
2012-07-01,275914
2012-08-01,290728
2012-09-01,284666
2012-10-01,266966
2012-11-01,276713
2012-12-01,283295
2013-01-01,290953
2013-02-01,269849
2013-03-01,296136
2013-04-01,146427
2013-05-01,287048
2013-06-01,275651
2013-07-01,278695
2013-08-01,263333
2013-09-01,268110
2013-10-01,263525
2013-11-01,261927
2013-12-01,271265
2014-01-01,269668
2014-02-01,244885
2014-03-01,262379
2014-04-01,253397
2014-05-01,259439
2014-06-01,250167
2014-07-01,257197
2014-08-01,258820
2014-09-01,254840
2014-10-01,261480
2014-11-01,259137
2014-12-01,265253
2015-01-01,264100
2015-02-01,241981
2015-03-01,266668
2015-04-01,257880
2015-05-01,253092
2015-06-01,256957
2015-07-01,232667
2015-08-01,219923
2015-09-01,263414
