data,producao
1997-01-01,8544
1997-02-01,8188
1997-03-01,8659
1997-04-01,8275
1997-05-01,8995
1997-06-01,8973
1997-07-01,9062
1997-08-01,8874
1997-09-01,8900
1997-10-01,9034
1997-11-01,8435
1997-12-01,8781
1998-01-01,9073
1998-02-01,8060
1998-03-01,9345
1998-04-01,8992
1998-05-01,9206
1998-06-01,8857
1998-07-01,9811
1998-08-01,10274
1998-09-01,9607
1998-10-01,9740
1998-11-01,8120
1998-12-01,9154
1999-01-01,9974
1999-02-01,8855
1999-03-01,10187
1999-04-01,10094
1999-05-01,11060
1999-06-01,10551
1999-07-01,10413
1999-08-01,10738
1999-09-01,10679
1999-10-01,10867
1999-11-01,10298
1999-12-01,9600
2000-01-01,10782
2000-02-01,10235
2000-03-01,10365
2000-04-01,8309
2000-05-01,8121
2000-06-01,7644
2000-07-01,8772
2000-08-01,3759
2000-09-01,7697
2000-10-01,8209
2000-11-01,7383
2000-12-01,8807
2001-01-01,8295
2001-02-01,6436
2001-03-01,7165
2001-04-01,6976
2001-05-01,7310
2001-06-01,8207
2001-07-01,8881
2001-08-01,8776
2001-09-01,7981
2001-10-01,7485
2001-11-01,7659
2001-12-01,7792
2002-01-01,7959
2002-02-01,7276
2002-03-01,7430
2002-04-01,6420
2002-05-01,9363
2002-06-01,8383
2002-07-01,10297
2002-08-01,10993
2002-09-01,9634
2002-10-01,10106
2002-11-01,11220
2002-12-01,11160
2003-01-01,11370
2003-02-01,9439
2003-03-01,9780
2003-04-01,10097
2003-05-01,10328
2003-06-01,8722
2003-07-01,6666
2003-08-01,6316
2003-09-01,5691
2003-10-01,8313
2003-11-01,6496
2003-12-01,6911
2004-01-01,8289
2004-02-01,10633
2004-03-01,10693
2004-04-01,9555
2004-05-01,10135
2004-06-01,10180
2004-07-01,11647
2004-08-01,11618
2004-09-01,11173
2004-10-01,10294
2004-11-01,10462
2004-12-01,11412
2005-01-01,10996
2005-02-01,9554
2005-03-01,9887
2005-04-01,9612
2005-05-01,8979
2005-06-01,7886
2005-07-01,9207
2005-08-01,9104
2005-09-01,8124
2005-10-01,7946
2005-11-01,10155
2005-12-01,9661
2006-01-01,8836
2006-02-01,6819
2006-03-01,8370
2006-04-01,10055
2006-05-01,10238
2006-06-01,8662
2006-07-01,8321
2006-08-01,8004
2006-09-01,7478
2006-10-01,7824
2006-11-01,7423
2006-12-01,7354
2007-01-01,7200
2007-02-01,6570
2007-03-01,6816
2007-04-01,7525
2007-05-01,7138
2007-06-01,5990
2007-07-01,6217
2007-08-01,6086
2007-09-01,5988
2007-10-01,6136
2007-11-01,5678
2007-12-01,6673
2008-01-01,4051
2008-02-01,5334
2008-03-01,5272
2008-04-01,5552
2008-05-01,5868
2008-06-01,5613
2008-07-01,6146
2008-08-01,5901
2008-09-01,5628
2008-10-01,5488
2008-11-01,5233
2008-12-01,6238
2009-01-01,5756
2009-02-01,5390
2009-03-01,5771
2009-04-01,5170
2009-05-01,4755
2009-06-01,3023
2009-07-01,3472
2009-08-01,3752
2009-09-01,4766
2009-10-01,4544
2009-11-01,4776
2009-12-01,4933
2010-01-01,3581
2010-02-01,1287
2010-03-01,3486
2010-04-01,4096
2010-05-01,4390
2010-06-01,4244
2010-07-01,3941
2010-08-01,4366
2010-09-01,4195
2010-10-01,4008
2010-11-01,2662
2010-12-01,2380
2011-01-01,1579
2011-02-01,2309
2011-03-01,2609
2011-04-01,2601
2011-05-01,2727
2011-06-01,2682
2011-07-01,2748
2011-08-01,2975
2011-09-01,2746
2011-10-01,2674
2011-11-01,2680
2011-12-01,2819
2012-01-01,2964
2012-02-01,2930
2012-03-01,2799
2012-04-01,2067
2012-05-01,1822
2012-06-01,1825
2012-07-01,1893
2012-08-01,1850
2012-09-01,1885
2012-10-01,2274
2012-11-01,2354
2012-12-01,2878
2013-01-01,2796
2013-02-01,2317
2013-03-01,2696
2013-04-01,2869
2013-05-01,3044
2013-06-01,2847
2013-07-01,2895
2013-08-01,3041
2013-09-01,2950
2013-10-01,2909
2013-11-01,2603
2013-12-01,2489
2014-01-01,2489
2014-02-01,2330
2014-03-01,2630
2014-04-01,2583
2014-05-01,2982
2014-06-01,2913
2014-07-01,2984
2014-08-01,2918
2014-09-01,2564
2014-10-01,2693
2014-11-01,2707
2014-12-01,2946
2015-01-01,2832
2015-02-01,2015
2015-03-01,2295
2015-04-01,2368
2015-05-01,2606
2015-06-01,2338
2015-07-01,2314
2015-08-01,2486
2015-09-01,2322
2015-10-01,1818
2015-11-01,1652
2015-12-01,2438
2016-01-01,2576
2016-02-01,2505
2016-03-01,3350
2016-04-01,3742
2016-05-01,3394
2016-06-01,3249
2016-07-01,3203
2016-08-01,3317
2016-09-01,3056
2016-10-01,3090
2016-11-01,2940
2016-12-01,2949
2017-01-01,2891
2017-02-01,2578
2017-03-01,2554
2017-04-01,2427
2017-05-01,2767
2017-06-01,2949
2017-07-01,2583
2017-08-01,2180
2017-09-01,2135
2017-10-01,2311
2017-11-01,2355
2017-12-01,2704
2018-01-01,2218
2018-02-01,2378
2018-03-01,2605
2018-04-01,2723
2018-05-01,3072
2018-06-01,3031
2018-07-01,3101
2018-08-01,3580
2018-09-01,3520
2018-10-01,3564
2018-11-01,3200
2018-12-01,2722
2019-01-01,1991
2019-02-01,1724
2019-03-01,2208
2019-04-01,2115
2019-05-01,2231
2019-06-01,2245
2019-07-01,2853
2019-08-01,2863
2019-09-01,2504
2019-10-01,2530
2019-11-01,2502
2019-12-01,2699
2020-01-01,1516
2020-02-01,2348
2020-03-01,2107
2020-04-01,29
2020-05-01,30
2020-06-01,29
2020-07-01,29
2020-08-01,27
2020-09-01,28
2020-10-01,29
2020-11-01,27
2020-12-01,29
2021-01-01,27
2021-02-01,27
2021-03-01,27
2021-04-01,26
2021-05-01,27
2021-06-01,26
2021-07-01,28
2021-08-01,27
2021-09-01,24
2021-10-01,22
2021-11-01,23
2021-12-01,23
2022-01-01,21
2022-02-01,19
2022-03-01,23
2022-04-01,23
2022-05-01,23
2022-06-01,21
2022-07-01,24
2022-08-01,27
2022-09-01,25
2022-10-01,26
2022-11-01,24
2022-12-01,25
2023-01-01,24
2023-02-01,22
2023-03-01,27
2023-04-01,25
2023-05-01,30
2023-06-01,28
2023-07-01,29
2023-08-01,29
2023-09-01,29
2023-10-01,31
2023-11-01,30
2023-12-01,31
2024-01-01,31
2024-02-01,29
2024-03-01,29
2024-04-01,29
2024-05-01,31
2024-06-01,27
2024-07-01,28
2024-08-01,27
2024-09-01,28
2024-10-01,32
2024-11-01,29
2024-12-01,30
2025-01-01,28
2025-02-01,26
2025-03-01,27
2025-04-01,27
2025-05-01,30
2025-06-01,34
2025-07-01,35
