data,producao
1997-01-01,21755
1997-02-01,20057
1997-03-01,22446
1997-04-01,19851
1997-05-01,23070
1997-06-01,23449
1997-07-01,23233
1997-08-01,22456
1997-09-01,22228
1997-10-01,22273
1997-11-01,21538
1997-12-01,21869
1998-01-01,22479
1998-02-01,21181
1998-03-01,22983
1998-04-01,24422
1998-05-01,24327
1998-06-01,23692
1998-07-01,25621
1998-08-01,24694
1998-09-01,24663
1998-10-01,25156
1998-11-01,27296
1998-12-01,24395
1999-01-01,24271
1999-02-01,25579
1999-03-01,24652
1999-04-01,20953
1999-05-01,26426
1999-06-01,26720
1999-07-01,27131
1999-08-01,25939
1999-09-01,27006
1999-10-01,26669
1999-11-01,25136
1999-12-01,25155
2000-01-01,25447
2000-02-01,22897
2000-03-01,21975
2000-04-01,22023
2000-05-01,24102
2000-06-01,25659
2000-07-01,26446
2000-08-01,27549
2000-09-01,28374
2000-10-01,29996
2000-11-01,32750
2000-12-01,29955
2001-01-01,30446
2001-02-01,28981
2001-03-01,31924
2001-04-01,31736
2001-05-01,31260
2001-06-01,31683
2001-07-01,34762
2001-08-01,32008
2001-09-01,33667
2001-10-01,34940
2001-11-01,33392
2001-12-01,34149
2002-01-01,35788
2002-02-01,32760
2002-03-01,33165
2002-04-01,33227
2002-05-01,34844
2002-06-01,36700
2002-07-01,35083
2002-08-01,35552
2002-09-01,32027
2002-10-01,34915
2002-11-01,38191
2002-12-01,39244
2003-01-01,42424
2003-02-01,40136
2003-03-01,44773
2003-04-01,43485
2003-05-01,43390
2003-06-01,39041
2003-07-01,44087
2003-08-01,42830
2003-09-01,42138
2003-10-01,44614
2003-11-01,42128
2003-12-01,40334
2004-01-01,36054
2004-02-01,36927
2004-03-01,39208
2004-04-01,40642
2004-05-01,46659
2004-06-01,45103
2004-07-01,43827
2004-08-01,43333
2004-09-01,43637
2004-10-01,44219
2004-11-01,45060
2004-12-01,45159
2005-01-01,46487
2005-02-01,41548
2005-03-01,46424
2005-04-01,43080
2005-05-01,41996
2005-06-01,45058
2005-07-01,42573
2005-08-01,43397
2005-09-01,42487
2005-10-01,42577
2005-11-01,42242
2005-12-01,41194
2006-01-01,39938
2006-02-01,38272
2006-03-01,49228
2006-04-01,48543
2006-05-01,80588
2006-06-01,102112
2006-07-01,99933
2006-08-01,86680
2006-09-01,96739
2006-10-01,92626
2006-11-01,87390
2006-12-01,87638
2007-01-01,83523
2007-02-01,72188
2007-03-01,81492
2007-04-01,81333
2007-05-01,72989
2007-06-01,78945
2007-07-01,90528
2007-08-01,79562
2007-09-01,72214
2007-10-01,75128
2007-11-01,75853
2007-12-01,101610
2008-01-01,98707
2008-02-01,201984
2008-03-01,250539
2008-04-01,244140
2008-05-01,224868
2008-06-01,267762
2008-07-01,256134
2008-08-01,263273
2008-09-01,261022
2008-10-01,281507
2008-11-01,197713
2008-12-01,254479
2009-01-01,79952
2009-02-01,53554
2009-03-01,107626
2009-04-01,69787
2009-05-01,153504
2009-06-01,105526
2009-07-01,49811
2009-08-01,51604
2009-09-01,67173
2009-10-01,117892
2009-11-01,104711
2009-12-01,115259
2010-01-01,118640
2010-02-01,130169
2010-03-01,136812
2010-04-01,165240
2010-05-01,182695
2010-06-01,191730
2010-07-01,191776
2010-08-01,192659
2010-09-01,272325
2010-10-01,337611
2010-11-01,381294
2010-12-01,400074
2011-01-01,366179
2011-02-01,269273
2011-03-01,366260
2011-04-01,339832
2011-05-01,384571
2011-06-01,382480
2011-07-01,400653
2011-08-01,394636
2011-09-01,361164
2011-10-01,368917
2011-11-01,312764
2011-12-01,385366
2012-01-01,328106
2012-02-01,314065
2012-03-01,318204
2012-04-01,284690
2012-05-01,308839
2012-06-01,315955
2012-07-01,313862
2012-08-01,298594
2012-09-01,324052
2012-10-01,348469
2012-11-01,363422
2012-12-01,389695
2013-01-01,395272
2013-02-01,354940
2013-03-01,388574
2013-04-01,367530
2013-05-01,379125
2013-06-01,355738
2013-07-01,369734
2013-08-01,356965
2013-09-01,360927
2013-10-01,368175
2013-11-01,345641
2013-12-01,372709
2014-01-01,359622
2014-02-01,317267
2014-03-01,365690
2014-04-01,330913
2014-05-01,392953
2014-06-01,374852
2014-07-01,400151
2014-08-01,415902
2014-09-01,420798
2014-10-01,476431
2014-11-01,460975
2014-12-01,433976
2015-01-01,426340
2015-02-01,358078
2015-03-01,332397
2015-04-01,286370
2015-05-01,337274
2015-06-01,319161
2015-07-01,370377
2015-08-01,363954
2015-09-01,334191
2015-10-01,334552
2015-11-01,319496
2015-12-01,332167
2016-01-01,261193
2016-02-01,262079
2016-03-01,286039
2016-04-01,324098
2016-05-01,343668
2016-06-01,344153
2016-07-01,340699
2016-08-01,362734
2016-09-01,335544
2016-10-01,305612
2016-11-01,344302
2016-12-01,384589
2017-01-01,361873
2017-02-01,331298
2017-03-01,359075
2017-04-01,347175
2017-05-01,373260
2017-06-01,361025
2017-07-01,276478
2017-08-01,359322
2017-09-01,322413
2017-10-01,312830
2017-11-01,298981
