data,producao
2000-01-01,0
2000-02-01,0
2000-03-01,0
2000-04-01,0
2000-05-01,0
2000-06-01,0
2000-07-01,0
2000-08-01,0
2000-09-01,0
2000-10-01,0
2000-11-01,0
2000-12-01,0
2001-01-01,0
2001-02-01,0
2001-03-01,0
2001-04-01,0
2001-05-01,0
2001-06-01,0
2001-07-01,0
2001-08-01,0
2001-09-01,0
2001-10-01,0
2001-11-01,0
2001-12-01,0
2002-01-01,0
2002-02-01,0
2002-03-01,0
2002-04-01,0
2002-05-01,0
2002-06-01,0
2002-07-01,0
2002-08-01,0
2002-09-01,0
2002-10-01,0
2002-11-01,0
2002-12-01,0
2003-01-01,0
2003-02-01,0
2003-03-01,0
2003-04-01,0
2003-05-01,0
2003-06-01,0
2003-07-01,0
2003-08-01,0
2003-09-01,0
2003-10-01,0
2003-11-01,0
2003-12-01,0
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,0
2005-10-01,0
2005-11-01,0
2005-12-01,0
2006-01-01,0
2006-02-01,0
2006-03-01,0
2006-04-01,0
2006-05-01,0
2006-06-01,0
2006-07-01,0
2006-08-01,0
2006-09-01,0
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,0
2007-02-01,0
2007-03-01,0
2007-04-01,0
2007-05-01,0
2007-06-01,0
2007-07-01,0
2007-08-01,0
2007-09-01,0
2007-10-01,0
2007-11-01,0
2007-12-01,0
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,0
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,305
2012-12-01,75
2013-01-01,13238
2013-02-01,52456
2013-03-01,72252
2013-04-01,123424
2013-05-01,120480
2013-06-01,135810
2013-07-01,134798
2013-08-01,140151
2013-09-01,134837
2013-10-01,148886
2013-11-01,168151
2013-12-01,175169
2014-01-01,183221
2014-02-01,168309
2014-03-01,188954
2014-04-01,181543
2014-05-01,163410
2014-06-01,163395
2014-07-01,172941
2014-08-01,171154
2014-09-01,99809
2014-10-01,161790
2014-11-01,166681
2014-12-01,147225
2015-01-01,149058
2015-02-01,133991
2015-03-01,150142
2015-04-01,110136
2015-05-01,83547
2015-06-01,136419
2015-07-01,116217
2015-08-01,130350
2015-09-01,119414
2015-10-01,147145
2015-11-01,142964
2015-12-01,145929
2016-01-01,135889
2016-02-01,98028
2016-03-01,90728
2016-04-01,115221
2016-05-01,130131
2016-06-01,144486
2016-07-01,216583
2016-08-01,208672
2016-09-01,153435
2016-10-01,233708
2016-11-01,226580
2016-12-01,172824
2017-01-01,105433
2017-02-01,42118
2017-03-01,1034
2017-04-01,1324
2017-05-01,16519
2017-06-01,124843
2017-07-01,240799
2017-08-01,216491
2017-09-01,172139
2017-10-01,234168
2017-11-01,226255
2017-12-01,236114
