data,producao
1997-01-01,16321
1997-02-01,17434
1997-03-01,17347
1997-04-01,16220
1997-05-01,16449
1997-06-01,12050
1997-07-01,7843
1997-08-01,9349
1997-09-01,8347
1997-10-01,8586
1997-11-01,8904
1997-12-01,21803
1998-01-01,10591
1998-02-01,13917
1998-03-01,14630
1998-04-01,14160
1998-05-01,14030
1998-06-01,12568
1998-07-01,11067
1998-08-01,10662
1998-09-01,10562
1998-10-01,10515
1998-11-01,10260
1998-12-01,10460
1999-01-01,10357
1999-02-01,8987
1999-03-01,9354
1999-04-01,9324
1999-05-01,9665
1999-06-01,6010
1999-07-01,4785
1999-08-01,2592
1999-09-01,3070
1999-10-01,3854
1999-11-01,5454
1999-12-01,4975
2000-01-01,4508
2000-02-01,5258
2000-03-01,5092
2000-04-01,5565
2000-05-01,5546
2000-06-01,4934
2000-07-01,4325
2000-08-01,2275
2000-09-01,2687
2000-10-01,2562
2000-11-01,2332
2000-12-01,2122
2001-01-01,2148
2001-02-01,1602
2001-03-01,2506
2001-04-01,3510
2001-05-01,5751
2001-06-01,3795
2001-07-01,4466
2001-08-01,3616
2001-09-01,3185
2001-10-01,2950
2001-11-01,2498
2001-12-01,2227
2002-01-01,2033
2002-02-01,699
2002-03-01,207
2002-04-01,991
2002-05-01,3861
2002-06-01,1553
2002-07-01,43
2002-08-01,0
2002-09-01,0
2002-10-01,0
2002-11-01,0
2002-12-01,0
2003-01-01,0
2003-02-01,1396
2003-03-01,0
2003-04-01,0
2003-05-01,2360
2003-06-01,5079
2003-07-01,5074
2003-08-01,10529
2003-09-01,10905
2003-10-01,8512
2003-11-01,6790
2003-12-01,5752
2004-01-01,4869
2004-02-01,5623
2004-03-01,6738
2004-04-01,4762
2004-05-01,5289
2004-06-01,5845
2004-07-01,6260
2004-08-01,6061
2004-09-01,5863
2004-10-01,4534
2004-11-01,4081
2004-12-01,5298
2005-01-01,6208
2005-02-01,6328
2005-03-01,5251
2005-04-01,4828
2005-05-01,6710
2005-06-01,6705
2005-07-01,5973
2005-08-01,5590
2005-09-01,4520
2005-10-01,5913
2005-11-01,5788
2005-12-01,3897
2006-01-01,6787
2006-02-01,2833
2006-03-01,2887
2006-04-01,3913
2006-05-01,3988
2006-06-01,2792
2006-07-01,2824
2006-08-01,2975
2006-09-01,2356
2006-10-01,2202
2006-11-01,2775
2006-12-01,2622
2007-01-01,2660
2007-02-01,2122
2007-03-01,3447
2007-04-01,4665
2007-05-01,4186
2007-06-01,2709
2007-07-01,2627
2007-08-01,2771
2007-09-01,1948
2007-10-01,3348
2007-11-01,2480
2007-12-01,1367
2008-01-01,2229
2008-02-01,1190
2008-03-01,2458
2008-04-01,2149
2008-05-01,2562
2008-06-01,2808
2008-07-01,3093
2008-08-01,2883
2008-09-01,1375
2008-10-01,558
2008-11-01,361
2008-12-01,263
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,0
2014-10-01,0
2014-11-01,0
2014-12-01,0
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,0
2022-02-01,0
2022-03-01,0
2022-04-01,0
2022-05-01,0
2022-06-01,0
2022-07-01,367
2022-08-01,736
2022-09-01,517
2022-10-01,819
2022-11-01,850
2022-12-01,834
2023-01-01,858
2023-02-01,718
2023-03-01,794
2023-04-01,823
2023-05-01,858
2023-06-01,836
2023-07-01,865
2023-08-01,839
2023-09-01,718
2023-10-01,619
2023-11-01,673
2023-12-01,829
2024-01-01,692
2024-02-01,671
2024-03-01,710
2024-04-01,685
2024-05-01,728
2024-06-01,3831
2024-07-01,4051
2024-08-01,4248
2024-09-01,4448
2024-10-01,3932
2024-11-01,3979
2024-12-01,3952
2025-01-01,3817
2025-02-01,3129
2025-03-01,3316
2025-04-01,3374
2025-05-01,601
2025-06-01,2193
2025-07-01,3351
