data,producao
1997-01-01,325655
1997-02-01,330876
1997-03-01,346070
1997-04-01,323297
1997-05-01,309287
1997-06-01,320184
1997-07-01,327229
1997-08-01,327990
1997-09-01,322632
1997-10-01,283655
1997-11-01,304377
1997-12-01,355096
1998-01-01,341570
1998-02-01,329389
1998-03-01,377677
1998-04-01,349033
1998-05-01,383554
1998-06-01,369922
1998-07-01,381777
1998-08-01,386748
1998-09-01,371483
1998-10-01,403859
1998-11-01,402808
1998-12-01,446488
1999-01-01,468146
1999-02-01,418376
1999-03-01,463612
1999-04-01,453519
1999-05-01,464564
1999-06-01,446891
1999-07-01,447388
1999-08-01,467071
1999-09-01,472358
1999-10-01,474198
1999-11-01,459221
1999-12-01,492912
2000-01-01,476477
2000-02-01,415388
2000-03-01,468691
2000-04-01,441198
2000-05-01,463172
2000-06-01,467814
2000-07-01,469708
2000-08-01,454411
2000-09-01,492041
2000-10-01,495982
2000-11-01,514462
2000-12-01,561687
2001-01-01,506673
2001-02-01,486177
2001-03-01,501931
2001-04-01,472130
2001-05-01,460927
2001-06-01,468841
2001-07-01,507359
2001-08-01,506696
2001-09-01,493823
2001-10-01,447316
2001-11-01,519078
2001-12-01,597376
2002-01-01,607072
2002-02-01,559353
2002-03-01,627438
2002-04-01,606635
2002-05-01,610094
2002-06-01,573863
2002-07-01,570380
2002-08-01,585518
2002-09-01,564940
2002-10-01,568164
2002-11-01,499239
2002-12-01,513648
2003-01-01,577986
2003-02-01,528708
2003-03-01,578386
2003-04-01,572950
2003-05-01,565673
2003-06-01,511305
2003-07-01,561446
2003-08-01,571844
2003-09-01,544894
2003-10-01,569939
2003-11-01,531678
2003-12-01,545341
2004-01-01,548992
2004-02-01,513879
2004-03-01,570399
2004-04-01,554165
2004-05-01,530005
2004-06-01,544177
2004-07-01,591982
2004-08-01,580541
2004-09-01,568723
2004-10-01,601989
2004-11-01,551458
2004-12-01,622763
2005-01-01,621506
2005-02-01,548610
2005-03-01,625710
2005-04-01,664495
2005-05-01,713983
2005-06-01,689534
2005-07-01,694518
2005-08-01,662076
2005-09-01,646614
2005-10-01,683263
2005-11-01,692774
2005-12-01,724098
2006-01-01,699534
2006-02-01,650571
2006-03-01,701586
2006-04-01,681118
2006-05-01,706643
2006-06-01,623024
2006-07-01,689523
2006-08-01,686329
2006-09-01,660740
2006-10-01,725255
2006-11-01,676154
2006-12-01,717194
2007-01-01,682521
2007-02-01,638144
2007-03-01,696071
2007-04-01,658948
2007-05-01,671643
2007-06-01,644923
2007-07-01,688676
2007-08-01,670178
2007-09-01,641129
2007-10-01,663019
2007-11-01,649548
2007-12-01,720287
2008-01-01,723392
2008-02-01,652388
2008-03-01,688520
2008-04-01,679197
2008-05-01,743669
2008-06-01,748437
2008-07-01,747243
2008-08-01,741588
2008-09-01,725543
2008-10-01,793363
2008-11-01,745841
2008-12-01,774131
2009-01-01,802244
2009-02-01,785310
2009-03-01,902187
2009-04-01,841260
2009-05-01,862125
2009-06-01,871153
2009-07-01,905618
2009-08-01,933257
2009-09-01,916254
2009-10-01,898718
2009-11-01,881810
2009-12-01,897282
2010-01-01,861765
2010-02-01,808330
2010-03-01,871287
2010-04-01,860828
2010-05-01,899234
2010-06-01,852929
2010-07-01,871674
2010-08-01,849186
2010-09-01,772249
2010-10-01,798026
2010-11-01,822783
2010-12-01,863939
2011-01-01,810647
