data,producao
1997-01-01,75550
1997-02-01,75590
1997-03-01,76556
1997-04-01,73872
1997-05-01,77074
1997-06-01,79475
1997-07-01,80258
1997-08-01,83188
1997-09-01,82053
1997-10-01,73659
1997-11-01,70570
1997-12-01,81041
1998-01-01,79964
1998-02-01,72490
1998-03-01,81150
1998-04-01,83100
1998-05-01,82915
1998-06-01,84256
1998-07-01,88368
1998-08-01,87387
1998-09-01,82962
1998-10-01,85011
1998-11-01,84170
1998-12-01,86802
1999-01-01,82089
1999-02-01,72588
1999-03-01,88342
1999-04-01,82295
1999-05-01,84649
1999-06-01,88397
1999-07-01,93358
1999-08-01,98510
1999-09-01,93648
1999-10-01,90230
1999-11-01,84840
1999-12-01,90963
2000-01-01,95453
2000-02-01,91656
2000-03-01,99871
2000-04-01,102212
2000-05-01,108592
2000-06-01,107019
2000-07-01,111687
2000-08-01,113349
2000-09-01,107976
2000-10-01,112216
2000-11-01,106091
2000-12-01,109117
2001-01-01,108735
2001-02-01,93765
2001-03-01,105001
2001-04-01,102287
2001-05-01,105202
2001-06-01,100349
2001-07-01,98065
2001-08-01,100732
2001-09-01,94819
2001-10-01,92694
2001-11-01,97321
2001-12-01,98688
2002-01-01,100677
2002-02-01,102541
2002-03-01,120557
2002-04-01,116776
2002-05-01,118518
2002-06-01,117822
2002-07-01,107888
2002-08-01,114831
2002-09-01,109213
2002-10-01,112167
2002-11-01,121009
2002-12-01,118294
2003-01-01,114556
2003-02-01,96796
2003-03-01,100181
2003-04-01,98453
2003-05-01,96379
2003-06-01,95671
2003-07-01,109439
2003-08-01,120246
2003-09-01,115043
2003-10-01,116885
2003-11-01,104104
2003-12-01,101151
2004-01-01,107462
2004-02-01,102539
2004-03-01,111377
2004-04-01,116841
2004-05-01,115709
2004-06-01,111595
2004-07-01,113743
2004-08-01,116260
2004-09-01,112943
2004-10-01,118851
2004-11-01,114497
2004-12-01,123762
2005-01-01,119407
2005-02-01,107483
2005-03-01,117286
2005-04-01,99704
2005-05-01,114668
2005-06-01,109785
2005-07-01,109418
2005-08-01,111488
2005-09-01,106902
2005-10-01,110509
2005-11-01,104913
2005-12-01,104967
2006-01-01,101967
2006-02-01,91388
2006-03-01,100100
2006-04-01,95960
2006-05-01,106623
2006-06-01,105701
2006-07-01,109066
2006-08-01,102790
2006-09-01,96018
2006-10-01,94407
2006-11-01,87688
2006-12-01,88938
2007-01-01,92046
2007-02-01,85428
2007-03-01,91646
2007-04-01,89359
2007-05-01,90388
2007-06-01,90234
2007-07-01,94687
2007-08-01,92687
2007-09-01,89713
2007-10-01,90344
2007-11-01,84788
2007-12-01,87595
2008-01-01,85260
2008-02-01,78501
2008-03-01,81352
2008-04-01,77329
2008-05-01,78819
2008-06-01,78852
2008-07-01,82751
2008-08-01,81086
2008-09-01,74328
2008-10-01,71977
2008-11-01,67497
2008-12-01,69814
2009-01-01,72152
2009-02-01,58395
2009-03-01,62516
2009-04-01,62568
2009-05-01,67300
2009-06-01,64331
2009-07-01,68023
2009-08-01,63184
2009-09-01,62335
2009-10-01,62985
2009-11-01,57895
2009-12-01,59438
2010-01-01,57369
2010-02-01,56445
2010-03-01,63106
2010-04-01,61245
2010-05-01,63687
2010-06-01,59703
2010-07-01,61354
2010-08-01,58704
2010-09-01,56974
2010-10-01,56713
2010-11-01,41947
2010-12-01,51603
2011-01-01,57851
2011-02-01,52871
2011-03-01,57455
2011-04-01,57561
2011-05-01,56596
2011-06-01,54975
2011-07-01,57576
2011-08-01,56351
2011-09-01,52288
2011-10-01,52725
2011-11-01,39837
2011-12-01,38409
2012-01-01,48225
2012-02-01,44548
2012-03-01,47611
2012-04-01,46956
2012-05-01,50001
2012-06-01,45868
2012-07-01,44937
2012-08-01,46748
2012-09-01,45410
2012-10-01,47152
2012-11-01,45433
2012-12-01,50306
2013-01-01,49413
2013-02-01,44380
2013-03-01,48262
2013-04-01,39226
2013-05-01,42707
2013-06-01,46854
2013-07-01,48245
2013-08-01,47928
2013-09-01,45037
2013-10-01,43824
2013-11-01,44760
2013-12-01,45228
2014-01-01,45333
2014-02-01,40845
2014-03-01,44589
2014-04-01,41935
2014-05-01,42091
2014-06-01,40034
2014-07-01,40764
2014-08-01,40097
2014-09-01,37294
2014-10-01,38406
2014-11-01,38311
2014-12-01,40189
2015-01-01,40238
2015-02-01,35107
2015-03-01,36600
2015-04-01,37497
2015-05-01,37766
2015-06-01,37273
2015-07-01,38292
2015-08-01,37664
2015-09-01,34599
2015-10-01,35542
2015-11-01,26239
2015-12-01,29891
2016-01-01,31075
2016-02-01,29569
2016-03-01,32034
2016-04-01,28947
2016-05-01,29044
2016-06-01,27355
2016-07-01,38440
2016-08-01,34354
2016-09-01,35118
2016-10-01,36087
2016-11-01,34049
2016-12-01,32744
2017-01-01,35462
2017-02-01,33447
2017-03-01,38243
2017-04-01,36569
2017-05-01,22492
2017-06-01,36595
2017-07-01,34595
2017-08-01,35404
2017-09-01,32238
2017-10-01,32160
2017-11-01,31149
2017-12-01,31070
2018-01-01,30084
2018-02-01,28061
2018-03-01,30846
2018-04-01,30797
2018-05-01,30536
2018-06-01,29112
2018-07-01,29538
2018-08-01,28948
2018-09-01,28082
2018-10-01,29057
2018-11-01,27689
2018-12-01,28622
2019-01-01,30350
2019-02-01,27571
2019-03-01,29906
2019-04-01,26465
2019-05-01,29673
2019-06-01,29730
2019-07-01,30072
2019-08-01,29108
2019-09-01,23297
2019-10-01,26849
2019-11-01,25716
2019-12-01,26055
2020-01-01,27229
2020-02-01,22050
2020-03-01,22933
2020-04-01,18201
2020-05-01,20085
2020-06-01,18723
2020-07-01,19566
2020-08-01,20192
2020-09-01,18707
2020-10-01,18757
2020-11-01,19024
2020-12-01,19500
2021-01-01,20222
2021-02-01,17950
2021-03-01,20125
2021-04-01,19166
2021-05-01,19813
2021-06-01,20887
2021-07-01,21459
2021-08-01,21148
2021-09-01,19945
2021-10-01,18077
2021-11-01,22058
2021-12-01,24017
2022-01-01,26658
2022-02-01,25401
2022-03-01,27781
2022-04-01,26244
2022-05-01,27607
2022-06-01,27330
2022-07-01,27908
2022-08-01,28189
2022-09-01,28795
2022-10-01,29759
2022-11-01,29504
2022-12-01,31764
2023-01-01,29654
2023-02-01,26095
2023-03-01,30809
2023-04-01,29124
2023-05-01,30960
2023-06-01,32046
2023-07-01,35471
2023-08-01,38705
2023-09-01,35173
2023-10-01,36282
2023-11-01,29946
2023-12-01,29220
2024-01-01,36644
2024-02-01,34740
2024-03-01,36419
2024-04-01,35978
2024-05-01,38120
2024-06-01,34242
2024-07-01,35501
2024-08-01,35014
2024-09-01,35944
2024-10-01,38079
2024-11-01,34302
2024-12-01,35329
2025-01-01,36331
2025-02-01,34127
2025-03-01,37276
2025-04-01,36195
2025-05-01,38127
2025-06-01,37974
2025-07-01,39059
