data,producao
1997-01-01,55434
1997-02-01,57816
1997-03-01,59673
1997-04-01,57740
1997-05-01,54864
1997-06-01,60968
1997-07-01,48705
1997-08-01,51109
1997-09-01,60549
1997-10-01,63400
1997-11-01,62823
1997-12-01,56803
1998-01-01,60684
1998-02-01,59829
1998-03-01,37903
1998-04-01,55475
1998-05-01,63583
1998-06-01,60847
1998-07-01,59627
1998-08-01,54775
1998-09-01,50667
1998-10-01,52403
1998-11-01,48424
1998-12-01,46779
1999-01-01,46497
1999-02-01,40413
1999-03-01,54756
1999-04-01,52170
1999-05-01,53802
1999-06-01,56520
1999-07-01,53819
1999-08-01,41267
1999-09-01,39885
1999-10-01,41079
1999-11-01,39617
1999-12-01,39151
2000-01-01,33841
2000-02-01,37646
2000-03-01,24532
2000-04-01,23821
2000-05-01,29606
2000-06-01,23740
2000-07-01,25877
2000-08-01,24622
2000-09-01,23144
2000-10-01,24575
2000-11-01,26891
2000-12-01,25803
2001-01-01,25934
2001-02-01,25859
2001-03-01,29946
2001-04-01,23446
2001-05-01,23728
2001-06-01,26193
2001-07-01,31525
2001-08-01,36771
2001-09-01,28712
2001-10-01,37810
2001-11-01,25783
2001-12-01,28272
2002-01-01,37910
2002-02-01,34784
2002-03-01,37020
2002-04-01,33335
2002-05-01,31346
2002-06-01,25133
2002-07-01,33917
2002-08-01,32755
2002-09-01,31383
2002-10-01,30809
2002-11-01,31749
2002-12-01,34045
2003-01-01,37151
2003-02-01,40299
2003-03-01,34493
2003-04-01,32378
2003-05-01,30564
2003-06-01,29441
2003-07-01,29525
2003-08-01,30989
2003-09-01,32419
2003-10-01,39319
2003-11-01,33430
2003-12-01,18223
2004-01-01,35120
2004-02-01,37941
2004-03-01,36893
2004-04-01,31537
2004-05-01,37076
2004-06-01,33325
2004-07-01,30732
2004-08-01,33345
2004-09-01,32600
2004-10-01,28740
2004-11-01,8450
2004-12-01,37640
2005-01-01,35808
2005-02-01,32143
2005-03-01,35481
2005-04-01,33205
2005-05-01,34218
2005-06-01,32198
2005-07-01,28291
2005-08-01,32302
2005-09-01,30651
2005-10-01,30377
2005-11-01,27043
2005-12-01,27996
2006-01-01,28484
2006-02-01,28165
2006-03-01,29784
2006-04-01,25829
2006-05-01,26504
2006-06-01,32991
2006-07-01,32530
2006-08-01,30883
2006-09-01,30502
2006-10-01,31436
2006-11-01,30018
2006-12-01,29884
2007-01-01,29872
2007-02-01,26264
2007-03-01,26214
2007-04-01,24382
2007-05-01,28107
2007-06-01,27218
2007-07-01,28810
2007-08-01,28451
2007-09-01,22108
2007-10-01,28794
2007-11-01,26867
2007-12-01,27016
2008-01-01,26268
2008-02-01,24301
2008-03-01,25336
2008-04-01,20535
2008-05-01,24511
2008-06-01,23245
2008-07-01,23174
2008-08-01,20327
2008-09-01,16836
2008-10-01,2824
2008-11-01,15441
2008-12-01,19251
2009-01-01,16727
2009-02-01,15023
2009-03-01,16467
2009-04-01,15755
2009-05-01,16975
2009-06-01,17127
2009-07-01,17248
2009-08-01,13120
2009-09-01,21415
2009-10-01,26617
2009-11-01,20098
2009-12-01,21813
2010-01-01,23019
2010-02-01,21735
2010-03-01,27463
2010-04-01,23269
2010-05-01,23044
2010-06-01,22192
2010-07-01,31005
2010-08-01,29763
2010-09-01,30310
2010-10-01,53312
2010-11-01,3844
2010-12-01,53053
2011-01-01,75366
2011-02-01,59761
2011-03-01,43896
2011-04-01,64297
2011-05-01,105086
2011-06-01,103211
2011-07-01,106524
2011-08-01,103975
2011-09-01,112804
2011-10-01,160240
2011-11-01,185570
2011-12-01,185081
2012-01-01,177663
2012-02-01,99985
2012-03-01,96841
2012-04-01,106455
2012-05-01,138311
2012-06-01,171359
2012-07-01,192707
2012-08-01,194519
2012-09-01,153861
2012-10-01,218847
2012-11-01,208208
2012-12-01,233389
2013-01-01,235609
2013-02-01,225123
2013-03-01,260629
2013-04-01,259700
2013-05-01,192360
2013-06-01,279747
2013-07-01,269597
2013-08-01,264660
2013-09-01,235613
2013-10-01,83581
2013-11-01,216276
2013-12-01,264911
2014-01-01,278783
2014-02-01,271998
2014-03-01,333642
2014-04-01,339180
2014-05-01,342243
2014-06-01,361136
2014-07-01,343833
2014-08-01,371401
2014-09-01,328110
2014-10-01,380642
2014-11-01,364547
2014-12-01,447560
2015-01-01,440408
2015-02-01,389877
2015-03-01,452515
2015-04-01,460374
2015-05-01,456681
2015-06-01,497049
2015-07-01,493535
2015-08-01,515943
2015-09-01,506985
2015-10-01,505591
2015-11-01,331693
2015-12-01,487782
2016-01-01,502467
2016-02-01,419283
2016-03-01,366604
2016-04-01,468988
2016-05-01,477063
2016-06-01,458366
2016-07-01,512631
2016-08-01,481969
2016-09-01,554181
2016-10-01,556629
2016-11-01,493813
2016-12-01,540248
2017-01-01,563953
2017-02-01,515698
2017-03-01,569271
2017-04-01,561189
2017-05-01,596906
2017-06-01,571915
2017-07-01,612124
2017-08-01,610943
2017-09-01,582681
2017-10-01,564395
2017-11-01,527649
2017-12-01,609533
2018-01-01,605404
2018-02-01,557113
2018-03-01,582786
2018-04-01,509604
2018-05-01,552940
2018-06-01,519604
2018-07-01,500466
2018-08-01,382765
2018-09-01,484457
2018-10-01,589938
2018-11-01,545621
2018-12-01,600304
2019-01-01,563327
2019-02-01,512912
2019-03-01,582080
2019-04-01,541169
2019-05-01,588834
2019-06-01,562206
2019-07-01,567300
2019-08-01,576949
2019-09-01,569968
2019-10-01,578403
2019-11-01,500477
2019-12-01,550557
2020-01-01,573682
2020-02-01,533997
2020-03-01,538050
2020-04-01,522262
2020-05-01,541744
2020-06-01,517818
2020-07-01,526763
2020-08-01,551160
2020-09-01,377775
2020-10-01,459750
2020-11-01,502151
2020-12-01,510827
2021-01-01,557856
2021-02-01,473268
2021-03-01,521572
2021-04-01,516730
2021-05-01,543420
2021-06-01,528998
2021-07-01,545428
2021-08-01,533911
2021-09-01,377831
2021-10-01,503573
2021-11-01,474969
2021-12-01,479673
2022-01-01,541578
2022-02-01,459428
2022-03-01,556616
2022-04-01,535096
2022-05-01,521391
2022-06-01,500379
2022-07-01,499370
2022-08-01,516971
2022-09-01,491533
2022-10-01,503933
2022-11-01,353777
2022-12-01,428936
2023-01-01,422303
2023-02-01,403253
2023-03-01,453719
2023-04-01,414113
2023-05-01,447353
2023-06-01,441149
2023-07-01,449054
2023-08-01,459993
2023-09-01,432514
2023-10-01,433011
2023-11-01,378490
2023-12-01,398872
2024-01-01,369208
2024-02-01,339530
2024-03-01,299841
2024-04-01,382738
2024-05-01,401443
2024-06-01,374506
2024-07-01,371979
2024-08-01,371198
2024-09-01,353680
2024-10-01,369155
2024-11-01,286843
2024-12-01,298072
2025-01-01,339515
2025-02-01,311421
2025-03-01,330992
2025-04-01,325508
2025-05-01,325634
2025-06-01,291390
2025-07-01,331629
