data,producao
1997-01-01,58888
1997-02-01,61355
1997-03-01,60609
1997-04-01,59639
1997-05-01,59403
1997-06-01,65131
1997-07-01,66313
1997-08-01,60831
1997-09-01,62410
1997-10-01,62580
1997-11-01,58162
1997-12-01,65500
1998-01-01,69206
1998-02-01,61084
1998-03-01,70206
1998-04-01,67030
1998-05-01,68696
1998-06-01,72651
1998-07-01,65190
1998-08-01,62673
1998-09-01,65332
1998-10-01,69221
1998-11-01,68832
1998-12-01,66952
1999-01-01,70737
1999-02-01,59416
1999-03-01,71208
1999-04-01,69459
1999-05-01,70218
1999-06-01,74494
1999-07-01,71332
1999-08-01,74351
1999-09-01,73915
1999-10-01,78506
1999-11-01,76035
1999-12-01,76357
2000-01-01,77886
2000-02-01,70325
2000-03-01,69298
2000-04-01,69928
2000-05-01,73442
2000-06-01,73833
2000-07-01,78118
2000-08-01,80439
2000-09-01,77849
2000-10-01,72124
2000-11-01,59775
2000-12-01,70539
2001-01-01,72647
2001-02-01,64657
2001-03-01,71073
2001-04-01,63675
2001-05-01,69485
2001-06-01,66082
2001-07-01,69145
2001-08-01,69350
2001-09-01,57800
2001-10-01,68387
2001-11-01,69222
2001-12-01,70339
2002-01-01,73134
2002-02-01,64146
2002-03-01,70301
2002-04-01,67391
2002-05-01,68487
2002-06-01,66456
2002-07-01,68869
2002-08-01,65331
2002-09-01,62849
2002-10-01,63179
2002-11-01,67024
2002-12-01,64280
2003-01-01,65149
2003-02-01,53576
2003-03-01,64049
2003-04-01,47574
2003-05-01,61569
2003-06-01,60496
2003-07-01,63943
2003-08-01,63358
2003-09-01,62390
2003-10-01,65477
2003-11-01,63006
2003-12-01,61925
2004-01-01,57307
2004-02-01,55587
2004-03-01,58879
2004-04-01,58236
2004-05-01,59517
2004-06-01,54931
2004-07-01,52286
2004-08-01,58337
2004-09-01,55356
2004-10-01,55699
2004-11-01,57162
2004-12-01,54127
2005-01-01,52825
2005-02-01,45308
2005-03-01,48978
2005-04-01,46195
2005-05-01,46756
2005-06-01,52357
2005-07-01,57217
2005-08-01,56345
2005-09-01,55723
2005-10-01,57858
2005-11-01,49832
2005-12-01,48347
2006-01-01,52458
2006-02-01,47230
2006-03-01,55209
2006-04-01,52669
2006-05-01,56117
2006-06-01,53134
2006-07-01,53121
2006-08-01,52317
2006-09-01,47635
2006-10-01,47889
2006-11-01,44741
2006-12-01,46853
2007-01-01,45375
2007-02-01,40119
2007-03-01,44699
2007-04-01,40010
2007-05-01,33005
2007-06-01,39197
2007-07-01,44461
2007-08-01,45444
2007-09-01,45921
2007-10-01,57034
2007-11-01,56325
2007-12-01,55465
2008-01-01,56818
2008-02-01,53590
2008-03-01,56306
2008-04-01,57599
2008-05-01,56900
2008-06-01,67351
2008-07-01,82718
2008-08-01,84363
2008-09-01,80278
2008-10-01,87204
2008-11-01,89248
2008-12-01,85390
2009-01-01,83940
2009-02-01,75718
2009-03-01,85206
2009-04-01,69763
2009-05-01,80113
2009-06-01,80418
2009-07-01,86350
2009-08-01,80462
2009-09-01,78508
2009-10-01,76959
2009-11-01,77494
2009-12-01,81205
2010-01-01,85373
2010-02-01,74214
2010-03-01,81637
2010-04-01,88785
2010-05-01,97281
2010-06-01,97209
2010-07-01,93364
2010-08-01,105651
2010-09-01,102641
2010-10-01,107191
2010-11-01,65949
2010-12-01,102433
2011-01-01,105189
2011-02-01,98605
2011-03-01,92675
2011-04-01,94509
2011-05-01,105094
2011-06-01,93986
2011-07-01,92247
2011-08-01,98804
2011-09-01,69795
2011-10-01,75280
2011-11-01,84548
2011-12-01,90445
2012-01-01,93297
2012-02-01,78904
2012-03-01,94187
2012-04-01,81312
2012-05-01,87706
2012-06-01,89102
2012-07-01,86661
2012-08-01,94685
2012-09-01,86044
2012-10-01,91763
2012-11-01,56788
2012-12-01,89387
2013-01-01,92914
2013-02-01,79977
2013-03-01,86507
2013-04-01,83090
2013-05-01,83846
2013-06-01,84228
2013-07-01,79696
2013-08-01,94267
2013-09-01,92597
2013-10-01,94730
2013-11-01,91983
2013-12-01,92857
2014-01-01,66423
2014-02-01,81582
2014-03-01,94281
2014-04-01,92447
2014-05-01,91528
2014-06-01,89612
2014-07-01,92949
2014-08-01,92526
2014-09-01,89643
2014-10-01,89895
2014-11-01,84787
2014-12-01,92306
2015-01-01,92743
2015-02-01,82790
2015-03-01,87087
2015-04-01,87294
2015-05-01,90479
2015-06-01,81551
2015-07-01,36071
2015-08-01,48443
2015-09-01,55105
2015-10-01,64283
2015-11-01,75563
2015-12-01,62390
2016-01-01,82006
2016-02-01,77965
2016-03-01,79928
2016-04-01,78849
2016-05-01,83118
2016-06-01,79953
2016-07-01,83928
2016-08-01,85102
2016-09-01,79962
2016-10-01,80137
2016-11-01,70740
2016-12-01,67519
2017-01-01,65791
2017-02-01,59464
2017-03-01,66451
2017-04-01,65817
2017-05-01,72986
2017-06-01,44379
2017-07-01,71349
2017-08-01,72812
2017-09-01,69807
2017-10-01,72765
2017-11-01,72915
2017-12-01,77237
2018-01-01,77095
2018-02-01,64250
2018-03-01,64669
2018-04-01,48604
2018-05-01,66149
2018-06-01,65979
2018-07-01,67345
2018-08-01,66644
2018-09-01,65298
2018-10-01,69357
2018-11-01,66137
2018-12-01,69792
2019-01-01,63226
2019-02-01,49464
2019-03-01,57566
2019-04-01,56139
2019-05-01,57754
2019-06-01,59362
2019-07-01,58579
2019-08-01,36875
2019-09-01,61637
2019-10-01,60651
2019-11-01,41281
2019-12-01,42885
2020-01-01,44543
2020-02-01,45939
2020-03-01,55079
2020-04-01,11593
2020-05-01,2350
2020-06-01,2131
2020-07-01,2198
2020-08-01,2115
2020-09-01,1890
2020-10-01,2017
2020-11-01,1878
2020-12-01,1670
2021-01-01,1767
2021-02-01,1801
2021-03-01,1847
2021-04-01,1571
2021-05-01,1603
2021-06-01,1501
2021-07-01,1614
2021-08-01,1409
2021-09-01,1210
2021-10-01,1363
2021-11-01,1210
2021-12-01,1342
2022-01-01,1154
2022-02-01,998
2022-03-01,1560
2022-04-01,1347
2022-05-01,906
2022-06-01,173
2022-07-01,175
2022-08-01,173
2022-09-01,177
2022-10-01,430
2022-11-01,834
2022-12-01,1168
2023-01-01,1254
2023-02-01,1153
2023-03-01,1649
2023-04-01,1556
2023-05-01,1615
2023-06-01,1523
2023-07-01,1532
2023-08-01,1793
2023-09-01,1673
2023-10-01,1642
2023-11-01,1822
2023-12-01,1863
2024-01-01,1852
2024-02-01,1613
2024-03-01,1711
2024-04-01,1902
2024-05-01,1961
2024-06-01,2038
2024-07-01,2246
2024-08-01,1503
2024-09-01,1667
2024-10-01,1746
2024-11-01,1887
2024-12-01,1957
2025-01-01,2012
2025-02-01,1642
2025-03-01,1805
2025-04-01,1848
2025-05-01,2036
2025-06-01,2187
2025-07-01,2145
